
8414,1.00E+15,,автомакедонија,Св. Кирил и Методиј,41.9909355,21.4307802,40,30
8426,1.00E+15,Cкoпje,Parking Vero Center,,41.992741,21.4426758,80,40
8427,1.00E+15,,ЈСП - Јавно Сообраќајно Претпријатие,,42.0003768,21.4640285,120,30
8446,1.00E+15,,Паркинг „Разловечко востание“,,41.9933752,21.4361315,30,30
8458,1.00E+15,,паркинг Воена Болница,,42.0056345,21.4024391,50,30
8460,1.00E+15,,Дом на Градежници,,41.9958394,21.4261302,25,30
8481,1.00E+15,,Манастирско паркиралиште,,42.0124961,22.2269726,15,30
8488,1.00E+15,,Мотел Брана Градче,,41.963472,22.4065946,25,0
8493,1.00E+15,,Airport Parking,,41.9612238,21.6288717,70,60
8494,1.00E+15,,Катна Гаража,,41.9855253,21.4651125,130,40
8499,1.00E+15,,Пицерија Кремисимо,,42.0007292,21.4577329,10,0
8540,1.00E+15,Cкoпje,Skopje City Mall,,42.0056879,21.3924934,250,40
8561,1.00E+15,,Автопазар,,41.9994787,21.4868651,36,30
8563,1.00E+15,,Бања Косоврасти,,41.5327954,20.5773918,28,30
8574,1.00E+15,,Big park Dracevo parking,,41.938212,21.5179759,25,30
8575,1.00E+15,,MZ Dracevo,,41.9400704,21.5133684,40,30
8677,1.00E+15,Делчево,Градски паркинг,Н. Ј. Вапцаров,41.9659761,22.7732514,30,30
8678,1.00E+15,Делчево,Паркинг само за гости на Аполон,Н. Ј. Вапцаров,41.9672247,22.7757092,13,30
8679,1.00E+15,,Паркинг,,41.9650441,22.7751703,10,30
8680,1.00E+15,,Паркинг - Здравен дом,М.М. БРИЦО,41.9649383,22.7805858,17,30
8699,1.00E+15,Bitola,Millenium,Широк Сокак,41.0286849,21.3350962,24,30
8716,1.00E+15,,Паркинг Технолошко-металуршки факултет,,42.0050819,21.41021,50,40
8749,1.00E+15,,ГТЦ Паркинг,,41.994558,21.4340599,150,60
8762,1.00E+15,,Паркинг за Ветеринарна Болница,,42.0034602,21.4595916,16,0
8781,1.00E+15,,Манија Фан,,41.3069318,21.5172528,35,30
8800,1.00E+15,,Паркинг,,41.7428697,22.192437,15,30
8801,1.00E+15,,Паркинг,,41.7434715,22.1930268,15,30
8802,1.00E+15,,Паркинг,,41.7429548,22.1938055,15,30
8803,1.00E+15,,Паркинг,,41.7439161,22.1983319,15,30
8806,1.00E+15,,Паркинг,,41.7376734,22.1942058,15,30
8822,1.00E+15,Tetovo,Parking Interpromet,Илинденска,42.0086871,20.9711641,45,30
8853,1.00E+15,,Паркинг,,41.9883507,21.0416328,15,30
8874,1.00E+15,,Паркинг за посетители,,42.0025527,21.4514175,20,0
8889,1.00E+15,,Parking Baniste,,41.5591208,20.5308454,20,30
8898,1.00E+15,,Галеб АД Охрид,,41.1230682,20.8121003,30,40
8935,1.00E+15,,Паркинг Машински факултет,,42.0054231,21.4077192,50,40
