@id,addr:city,name,addr:street,@lat,@lon
369390372,,,,41.9979535,21.4497930
369390374,,,,41.9972518,21.4495097
370529764,,,,42.0050894,21.3838615
370529765,,,,42.0049281,21.3838226
370529766,,,,42.0047237,21.3853549
370529768,,,,42.0048851,21.3853939
370530450,,,,42.0088207,21.3642852
370530451,,,,42.0086698,21.3642829
370530452,,,,42.0086663,21.3652566
370530453,,,,42.0088172,21.3652566
370662327,,,,41.9938046,21.4214979
370662330,,,,41.9936722,21.4214329
370662336,,,,41.9933157,21.4237454
371805670,,,,41.9960262,21.5125680
371811540,,,,41.9972779,21.5735266
371821378,,,,41.9973343,21.5735266
373985540,,,,41.9571685,21.6285791
373985549,,,,41.9560088,21.6289597
373985559,,,,41.9560928,21.6294226
373985566,,,,41.9572525,21.6290420
376888383,,,,41.9962482,21.4280449
386715731,,,,41.4318091,22.0030601
386716876,,,,41.4332017,22.0129612
386718248,,,,41.4330030,22.0117985
386746863,,Паркинг МОБ,,41.9967331,21.4364130
386801763,,,,41.4919248,22.0970831
388185123,,,,41.4782711,21.0915821
390759628,,,,41.1121613,20.7935388
393714195,,,,42.0020862,21.4323489
393714196,,,,42.0019458,21.4325649
393714197,,,,42.0023014,21.4329834
393714198,,,,42.0024417,21.4327675
393715038,,,,42.0044637,21.4331107
393715039,,,,42.0038726,21.4333015
393715045,,,,42.0039107,21.4335151
393715046,,,,42.0045018,21.4333243
393752551,,,,41.1869943,22.7219003
393752554,,,,41.1871973,22.7218243
393752557,,,,41.1870677,22.7212136
393755470,,,,41.1837288,22.7225478
393755473,,,,41.1838515,22.7231401
393755474,,,,41.1837094,22.7231744
393755476,,,,41.1835867,22.7226251
395609143,,,,41.9988708,21.4437361
395609145,,,,41.9987487,21.4437694
395609148,,,,41.9986636,21.4442726
395609150,,,,41.9990689,21.4445729
395609153,,,,41.9991126,21.4444843
414187535,,,,41.3859475,21.5922310
414187536,,,,41.3849165,21.5918253
418328105,,,,42.0126955,21.4635585
418328107,,,,42.0126804,21.4632652
418328108,,,,42.0124955,21.4628657
418328109,,,,42.0124082,21.4627878
418328110,,,,42.0108167,21.4629487
418328111,,,,42.0107584,21.4630915
418328113,,,,42.0107591,21.4636985
418328114,,,,42.0124900,21.4637117
418328115,,,,42.0126043,21.4636688
418871655,,,,42.0019793,21.4213684
418872688,,,,42.0053196,21.4066027
419278258,,,,42.0278327,22.1305786
420449807,,,,41.6201930,20.6092680
420449810,,,,41.6200454,20.6092766
420449812,,,,41.6198914,20.6093110
420449814,,,,41.6197567,20.6093710
420449816,,,,41.6196412,20.6093796
420449817,,,,41.6194936,20.6093539
420449818,,,,41.6195513,20.6094397
420449820,,,,41.6196797,20.6095255
420449822,,,,41.6198016,20.6095427
420449824,,,,41.6199620,20.6094397
420449826,,,,41.6200582,20.6093968
420449828,,,,41.6201673,20.6093882
420450010,,,,41.6201456,20.6092285
420450011,,,,41.6201875,20.6092848
426031654,,,,41.9958217,21.5131550
426031662,,,,41.9960494,21.5132892
426031668,,,,41.9962677,21.5126935
428060078,,,,42.0318444,21.4031924
428590116,,,,41.0311420,21.3341630
428590119,,,,41.0304687,21.3346176
428590122,,,,41.0304899,21.3346937
428590125,,,,41.0310840,21.3344153
428732452,,,,41.7776204,21.7548226
428732454,,,,41.7777701,21.7553919
428733878,,,,41.7779189,21.7552457
